Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2280,8e8,BLUE 1 CMW,D,Costa Mesa Sanitary District,Public Works,OC CCCS
2282,8ea,BLUE 1 ETW,D,El Toro Water District,Public Works,OC CCCS
2284,8ec,BLUE 1 MWD,D,Mesa Water District,Public Works,OC CCCS
2286,8ee,BLUE 1 SMW,D,Santa Margarita Water District,Public Works,OC CCCS
2288,8f0,BLUE 1 TCW,D,Trabuco Canyon Water District,Public Works,OC CCCS
2290,8f2,BLUE 1 MSW,D,Midway Sanitation District,Public Works,OC CCCS
2292,8f4,BLUE 1 IVW,D,Irvine Ranch Water District,Public Works,OC CCCS
2294,8f6,BLUE 1 LBW,D,Laguna Beach County Water District,Public Works,OC CCCS
2296,8f8,BLUE 1 MNW,D,Moulton Niguel Water District,Public Works,OC CCCS
2298,8fa,BLUE 1 WRC,D,Municipal Water District of OC WEROC,Public Works,OC CCCS
2300,8fc,BLUE 1 SCW,D,South Coast Water District,Public Works,OC CCCS
391,187,TAN-CALL,D,Tan Call Countywide Calling,Interop,OC CCCS
393,189,TAN-NORTH,D,Tan North Tactical,Interop,OC CCCS
395,18b,TAN-SOUTH,D,Tan South Tactical,Interop,OC CCCS
397,18d,TAN-1,D,Tan Countywide Tactical 1,Interop,OC CCCS
399,18f,TAN-2,D,Tan Countywide Tactical 2,Interop,OC CCCS
401,191,TAN-3,D,Tan Countywide Tactical 3,Interop,OC CCCS
403,193,TAN-4,D,Tan Countywide Tactical 4,Interop,OC CCCS
405,195,TAN-5,D,Tan Countywide Tactical 5,Interop,OC CCCS
407,197,TAN-6,D,Tan Countywide Tactical 6,Interop,OC CCCS
1918,77e,TAN-7,DE,Tan Countywide Tactical 7,Interop,OC CCCS
1920,780,TAN-8,DE,Tan Countywide Tactical 8,Interop,OC CCCS
245,f5,4G FLD/ER N,DE,4G ALS-No Contact North,Hospital,OC CCCS
267,10b,5K HOSP S,DE,5K EMS Field to Hospital,Hospital,OC CCCS
431,1af,6A MED-CALL,DE,6A Assignment OCC,EMS Dispatch,OC CCCS
433,1b1,6B MED-N1,DE,6B North 1,Hospital,OC CCCS
435,1b3,6C MED-N2,DE,6C North 2,Hospital,OC CCCS
437,1b5,6D MED-NW,DE,6D Northwest,Hospital,OC CCCS
439,1b7,6E MED-S1,DE,6E South 1,Hospital,OC CCCS
441,1b9,6F MED-S2,DE,6F South 2,Hospital,OC CCCS
443,1bb,6G MED-SW,DE,6G Southwest,Hospital,OC CCCS
445,1bd,6H MED-CO1,DE,6H Countywide 1,EMS-Tac,OC CCCS
447,1bf,6I MED-CO2,DE,6I Countywide 2,EMS-Tac,OC CCCS
449,1c1,6J MED-CO3,DE,6J Countywide 3,EMS-Tac,OC CCCS
451,1c3,6K MED-LAB,DE,6K Laguna Beach,EMS-Tac,OC CCCS
453,1c5,6L HOSP-C,D,6L Hospital Contact,Hospital,OC CCCS
1710,6ae,OCC ALT,D,Paramedic Coordination Center,EMS-Tac,OC CCCS
1720,6b8,HOAG,D,Hoag Memorial Hospital,Hospital,OC CCCS
1730,6c2,HUNT BCH,D,Huntington Beach Hospital,Hospital,OC CCCS
1740,6cc,MISSION,D,Mission Hospital Regional,Hospital,OC CCCS
1750,6d6,ST JUDE,D,St Jude Medical Center,Hospital,OC CCCS
1760,6e0,UCI MC,D,UC Irvine Medical Center,Hospital,OC CCCS
1770,6ea,OC GLOBAL,D,OC Global Medical Center,Hospital,OC CCCS
2308,904,CHOC,D,Childrens Hospital of Orange County,Hospital,OC CCCS
3820,eec,IVC PD GRN1,DE,Irvine Valley College Police Dispatch,Law Dispatch,OC CCCS
3822,eee,IVC PD GRN2,DE,Irvine Valley College Police Green 2,Law Tac,OC CCCS
3100,c1c,ORANGE-N,DE,Law Interop North,Interop,OC CCCS
3102,c1e,ORANGE-S,DE,Law Interop South,Interop,OC CCCS
3104,c20,ORANGE-1,DE,Law Interop 1,Interop,OC CCCS
3106,c22,ORANGE-2,DE,Law Interop 2,Interop,OC CCCS
3108,c24,ORANGE-3,DE,Law Interop 3,Interop,OC CCCS
3110,c26,ORANGE-4,DE,Law Interop 4,Interop,OC CCCS
3112,c28,ORANGE-5,DE,Law Interop 5,Interop,OC CCCS
3114,c2a,ORANGE-6,DE,Law Interop 6,Interop,OC CCCS
3116,c2c,ORANGE-7,DE,Law Interop 7,Interop,OC CCCS
3120,c30,PURPLE,DE,Inquiries,Interop,OC CCCS
3130,c3a,BLACK-N,DE,Detective Surveillance North,Interop,OC CCCS
3132,c3c,BLACK-S,DE,Detective Surveillance South,Interop,OC CCCS
3134,c3e,BLACK-1,DE,Detective Surveillance 1,Interop,OC CCCS
3136,c40,BLACK-2,DE,Detective Surveillance 2,Interop,OC CCCS
3138,c42,BLACK-3,DE,Detective Surveillance 3,Interop,OC CCCS
3140,c44,BLACK-4,DE,Detective Surveillance 4,Interop,OC CCCS
3142,c46,BLACK-5,DE,Detective Surveillance 5,Interop,OC CCCS
3144,c48,BLACK-6,DE,Detective Surveillance 6,Interop,OC CCCS
3146,c4a,BLACK-7,DE,Detective Surveillance 7,Interop,OC CCCS
3150,c4e,GRAY-N,DE,Narcotics Surveillance North,Interop,OC CCCS
3152,c50,GRAY-S,DE,Narcotics Surveillance South,Interop,OC CCCS
3154,c52,GRAY-1,DE,Narcotics Surveillance 1,Interop,OC CCCS
3156,c54,GRAY-2,DE,Narcotics Surveillance 2,Interop,OC CCCS
3158,c56,GRAY-3,DE,Narcotics Surveillance 3,Interop,OC CCCS
3160,c58,GRAY-4,DE,Narcotics Surveillance 4,Interop,OC CCCS
3162,c5a,GRAY-5,DE,Narcotics Surveillance 5,Interop,OC CCCS
3164,c5c,GRAY-6,DE,Narcotics Surveillance 6,Interop,OC CCCS
3166,c5e,GRAY-7,DE,Narcotics Surveillance 7,Interop,OC CCCS
3170,c62,RED,DE,Red Countywide Law Common,Interop,OC CCCS
2960,b90,AQUA-1,D,Aqua 1 County Ocean Safety,Multi-Dispatch,OC CCCS
2800,af0,AQUA-2,D,Aqua 2 Lifeguard Common,Multi-Tac,OC CCCS
2802,af2,AQUA-3,D,Aqua 3 Lifeguard Common,Multi-Tac,OC CCCS
2250,8ca,BROWN-N,D,Brown North,Public Works,OC CCCS
2252,8cc,BROWN-S,D,Brown South,Public Works,OC CCCS
2254,8ce,BROWN-1,D,Brown 1,Public Works,OC CCCS
2256,8d0,BROWN-2,D,Brown 2,Public Works,OC CCCS
2258,8d2,BROWN-3,D,Brown 3,Public Works,OC CCCS
2260,8d4,BROWN-4,D,Brown 4,Public Works,OC CCCS
2262,8d6,BROWN-5,D,Brown 5,Public Works,OC CCCS
2264,8d8,BROWN-6,D,Brown 6,Public Works,OC CCCS
2310,906,RSC PD GRN1,DE,Rancho Santiago CCD Police Dispatch,Law Dispatch,OC CCCS
2312,908,RSC PD GRN2,DE,Rancho Santiago CCD Police Green 2,Law Tac,OC CCCS
1922,782,SCP PD GRN1,DE,Saddleback College Police Dispatch,Law Dispatch,OC CCCS
1924,784,SCP PD GRN2,DE,Saddleback College Police Green 2,Law Tac,OC CCCS
