Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
16,10,DSP-DSP,D,Dispatch to Dispatch,Interop,Coordination
112,70,Air Call,D,Air Ambulance / Mercy Air,Emergency Ops,Aircraft
304,130,JWA Silver 1,D,John Wayne Airport Ops Silver 1,Public Works,Airport
